measurement_id,sample_id_x,station_id,cruise_id,age,length,weight,sex_number,maturity_number,gutted_weight,liver_weight,gonad_weight,area_grid,sub_area_grid,shot_latitude,shot_longitude,gsi,hsi,bounding_box,image__content__url,quarter,quarter_2,quarter_3,quarter_4,quarter_sin,quarter_cos
21514156,507573,322736,18797,14.0,108,9550.0,1.0,3.0,8050.0,431.0,538.0,366,4,63.7228333333333,-16.4953333333333,5.633507853403142,4.513089005235602,"[[0, 0], [8256, 5504]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/55a0fa795c5badf1484a36b0901e37fd7f7942a699d312f8e0bc420beda96409.nef?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=OHhpVulzAP6EDA102Zq1SI%2BlcDU%3D&Expires=1765370948,2,True,False,False,1.2246467991473532e-16,-1.0
23252819,536991,338642,20516,1.0,12,13.0,,,,,,671,3,66.6025,-21.9086666666667,,,"[[1868, 974], [2428, 1361]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=jC4%2FHwXhoB%2FywvHuD50aa3xAgNg%3D&Expires=1765370955,1,False,False,False,1.0,6.123233995736766e-17
23252811,536991,338642,20516,4.0,48,1225.0,2.0,1.0,936.0,26.0,,671,3,66.6025,-21.9086666666667,,2.122448979591837,"[[1063, 765], [1820, 1391]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=nodOr8rlrEHbWQzSF%2BANry8XL6w%3D&Expires=1765370956,1,False,False,False,1.0,6.123233995736766e-17
23252809,536991,338642,20516,5.0,58,2102.0,2.0,1.0,1600.0,35.0,,671,3,66.6025,-21.9086666666667,,1.6650808753568032,"[[5772, 75], [6834, 704]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=%2FNWn6SNvXpL5kL3%2FO7ZYBWmjy1E%3D&Expires=1765370961,1,False,False,False,1.0,6.123233995736766e-17
23252717,536991,338642,20516,5.0,60,1949.0,1.0,1.0,1623.0,24.0,,671,3,66.6025,-21.9086666666667,,1.2314007183170856,"[[1075, 0], [1943, 630]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=jC4%2FHwXhoB%2FywvHuD50aa3xAgNg%3D&Expires=1765370955,1,False,False,False,1.0,6.123233995736766e-17
23252805,536991,338642,20516,6.0,60,2340.0,2.0,2.0,1783.0,69.0,94.0,671,3,66.6025,-21.9086666666667,4.017094017094017,2.9487179487179485,"[[3907, 0], [4829, 629]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=ndIZG2yjv%2F%2BbgL1u4gr2SecVrsQ%3D&Expires=1765370960,1,False,False,False,1.0,6.123233995736766e-17
23252803,536991,338642,20516,5.0,55,1850.0,2.0,1.0,1383.0,53.0,,671,3,66.6025,-21.9086666666667,,2.864864864864865,"[[2918, 0], [3877, 629]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=KDudZ0WqNebHBToRGYM2iKjVHDQ%3D&Expires=1765370947,1,False,False,False,1.0,6.123233995736766e-17
23252719,536991,338642,20516,5.0,58,1947.0,1.0,1.0,1623.0,22.0,,671,3,66.6025,-21.9086666666667,,1.1299435028248588,"[[1990, 0], [2876, 629]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=8WjHmFa0nNFfUhriemc%2FGrycoAY%3D&Expires=1765370941,1,False,False,False,1.0,6.123233995736766e-17
23252806,536991,338642,20516,5.0,59,2233.0,2.0,1.0,1636.0,57.0,,671,3,66.6025,-21.9086666666667,,2.552619793999104,"[[4859, 0], [5750, 629]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=IVj%2F%2FUpQ4YuZ%2BV0ZXygHrBX%2FPf0%3D&Expires=1765370953,1,False,False,False,1.0,6.123233995736766e-17
23252976,536992,338643,20516,7.0,92,7390.0,2.0,2.0,5433.0,389.0,232.0,621,1,66.5005,-21.612,3.139377537212449,5.2638700947225985,"[[2432, 823], [3493, 1452]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=n%2BLtTgO3gVD1GGql75lnf66oSN4%3D&Expires=1765370944,1,False,False,False,1.0,6.123233995736766e-17
23252980,536992,338643,20516,6.0,55,1905.0,1.0,2.0,1429.0,52.0,106.0,621,1,66.5005,-21.612,5.564304461942257,2.729658792650919,"[[4576, 839], [5350, 1403]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=nodOr8rlrEHbWQzSF%2BANry8XL6w%3D&Expires=1765370956,1,False,False,False,1.0,6.123233995736766e-17
23252981,536992,338643,20516,6.0,55,1896.0,2.0,2.0,1277.0,56.0,50.0,621,1,66.5005,-21.612,2.6371308016877637,2.9535864978902953,"[[5375, 827], [6210, 1446]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=T3hURGVHyLdJJdIqggAaAAzQ%2FIw%3D&Expires=1765370952,1,False,False,False,1.0,6.123233995736766e-17
23252982,536992,338643,20516,1.0,22,90.0,2.0,1.0,78.0,3.0,,621,1,66.5005,-21.612,,3.3333333333333335,"[[6247, 913], [7100, 1458]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/0896aa0246e19a334113dbaa8abf12ae5bb39a8265019c7e997e41545442f213.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=IVj%2F%2FUpQ4YuZ%2BV0ZXygHrBX%2FPf0%3D&Expires=1765370953,1,False,False,False,1.0,6.123233995736766e-17
