image_id,annotator,age,previous_age,uncertain,is_issue,timestamp,comments,unusable,cruise,station_nr,individual_id
24320290.jpg,petrun,4,4,FALSE,FALSE,2026-05-04T08:37:53.959756+00:00,,,,,
24600950.jpg,petrun,10,10,FALSE,TRUE,2026-05-04T08:38:24.829777+00:00,,,,,
24910773.jpg,petrun,4,4,FALSE,FALSE,2026-05-04T08:38:39.333086+00:00,,,,,
24409451.jpg,petrun,10,10,FALSE,TRUE,2026-05-04T08:39:03.488486+00:00,,,,,
24879560.jpg,petrun,5,4,FALSE,TRUE,2026-05-04T08:39:21.563967+00:00,,,,,
24313710.jpg,petrun,4,5,TRUE,TRUE,2026-05-04T08:39:40.611000+00:00,,,,,
24784433.jpg,petrun,5,5,FALSE,TRUE,2026-05-04T08:39:50.184301+00:00,,,,,
24897455.jpg,petrun,4,5,TRUE,TRUE,2026-05-04T08:40:07.880914+00:00,,,,,
24371063.jpg,petrun,6,5,TRUE,TRUE,2026-05-04T08:40:41.001440+00:00,,,,,
24380191.jpg,petrun,4,5,TRUE,FALSE,2026-05-04T08:41:02.642918+00:00,,,,,
24816045.jpg,petrun,5,5,FALSE,TRUE,2026-05-04T08:41:21.034286+00:00,,,,,
24883764.jpg,petrun,4,5,TRUE,FALSE,2026-05-04T08:41:45.533708+00:00,,,,,
24526303.jpg,petrun,4,5,FALSE,TRUE,2026-05-04T08:42:25.520857+00:00,,,,,
24558346.jpg,petrun,1,1,TRUE,TRUE,2026-05-04T08:43:03.086886+00:00,,,,,
24120455.jpg,petrun,5,5,FALSE,TRUE,2026-05-04T08:43:15.333668+00:00,,,,,
24874028.jpg,petrun,5,4,TRUE,TRUE,2026-05-04T08:43:51.330677+00:00,,,,,
24750037.jpg,petrun,6,5,FALSE,TRUE,2026-05-04T08:44:39.462237+00:00,,,,,
24750958.jpg,petrun,6,5,TRUE,TRUE,2026-05-04T08:45:17.794230+00:00,,,,,
24920549.jpg,petrun,2,2,FALSE,TRUE,2026-05-04T08:45:25.928542+00:00,,,,,
24528378.jpg,petrun,4,4,FALSE,TRUE,2026-05-04T08:45:44.434163+00:00,,,,,
24388559.jpg,petrun,4,5,FALSE,TRUE,2026-05-04T08:46:00.943109+00:00,,,,,
23703207.jpg,petrun,4,4,FALSE,TRUE,2026-05-04T08:46:19.630509+00:00,,,,,
23253707.jpg,petrun,4,4,FALSE,TRUE,2026-05-04T08:46:31.517185+00:00,,,,,
23257475.jpg,petrun,4,4,FALSE,TRUE,2026-05-04T08:47:15.759838+00:00,,,,,
24560478.jpg,petrun,4,4,TRUE,FALSE,2026-05-04T08:47:29.478935+00:00,,,,,
24341711.jpg,petrun,4,5,FALSE,TRUE,2026-05-04T08:47:41.714676+00:00,,,,,
24712354.jpg,petrun,5,5,FALSE,TRUE,2026-05-04T08:52:25.696362+00:00,,,,,
23253702.jpg,petrun,3,3,FALSE,TRUE,2026-05-04T08:52:37.410830+00:00,,,,,
24717282.jpg,petrun,5,5,TRUE,TRUE,2026-05-04T08:52:51.191003+00:00,,,,,
24719427.jpg,petrun,9,10,FALSE,TRUE,2026-05-04T08:53:11.222757+00:00,,,,,
24645163.jpg,petrun,5,5,FALSE,TRUE,2026-05-04T08:53:24.933220+00:00,,,,,
24904557.jpg,petrun,3,4,TRUE,TRUE,2026-05-04T08:53:51.028376+00:00,,,,,
24306813.jpg,petrun,5,5,FALSE,TRUE,2026-05-04T08:54:12.849693+00:00,,,,,
24458721.jpg,petrun,11,10,FALSE,TRUE,2026-05-04T08:54:52.372507+00:00,,,,,
