,individual_id,cruise,station,sampleId,measureId,individualLabel,id,created_at.x,modified_at.x,rating,age,comment,axis_poly,created_by_id.x,project_id,authority,bounding_box,created_at.y,modified_at.y,created_by_id.y,image_id,annotated_by,orig_filename,mimetype,scale_line,scale_mm,created_at,modified_at,created_by_id,content
1,34,TTH1-2024,162,553187,24566535,1,1322,12:48.3,12:48.3,50,6,,"[[1337, 1954], [1328, 1941], [1307, 1914], [1296, 1900], [1289, 1891], [1282, 1882], [1274, 1872], [1262, 1856]]",133,NA,80,"[[912, 1664], [1638, 2082]]",44:24.6,44:24.8,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
2,34,TTH1-2024,162,553187,24566535,1,3281,37:01.1,37:01.1,50,6,,"[[1361, 1962], [1288, 1999], [1249, 2018], [1233, 2025], [1222, 2031], [1210, 2037], [1196, 2044], [1182, 2050]]",133,NA,80,"[[912, 1664], [1638, 2082]]",44:24.6,44:24.8,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
3,35,TTH1-2024,162,553187,24566536,2,1090,14:57.9,14:57.9,50,5,,"[[1952, 1959], [1898, 1965], [1872, 1969], [1857, 1970], [1839, 1973], [1822, 1975], [1802, 1977]]",133,NA,80,"[[1728, 1744], [2336, 2080]]",44:24.9,44:25.1,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
4,35,TTH1-2024,162,553187,24566536,2,3280,24:52.2,24:52.2,50,5,,"[[1965, 1956], [1887, 1925], [1846, 1908], [1811, 1894], [1789, 1885], [1767, 1877], [1746, 1868]]",133,NA,80,"[[1728, 1744], [2336, 2080]]",44:24.9,44:25.1,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
5,36,TTH1-2024,162,553187,24566537,3,418,25:33.8,25:33.8,100,4,,"[[2688, 1975], [2692, 1944], [2695, 1910], [2698, 1886], [2700, 1868], [2702, 1847]]",133,NA,80,"[[2416, 1776], [3056, 2064]]",44:25.2,44:25.4,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
6,36,TTH1-2024,162,553187,24566537,3,3279,23:09.2,23:09.2,50,4,,"[[2692, 1973], [2689, 1944], [2684, 1907], [2680, 1881], [2677, 1858], [2675, 1837]]",133,NA,80,"[[2416, 1776], [3056, 2064]]",44:25.2,44:25.4,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
7,37,TTH1-2024,162,553187,24566538,4,1190,20:02.6,20:02.6,50,6,,"[[3520, 1943], [3465, 1953], [3438, 1958], [3416, 1962], [3390, 1966], [3356, 1972], [3334, 1976], [3305, 1981]]",133,NA,80,"[[3168, 1675], [3944, 2073]]",44:25.4,44:25.6,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
8,37,TTH1-2024,162,553187,24566538,4,3278,21:41.9,21:41.9,50,6,,"[[3529, 1951], [3527, 1921], [3523, 1886], [3520, 1853], [3518, 1831], [3516, 1809], [3515, 1793], [3514, 1778]]",133,NA,80,"[[3168, 1675], [3944, 2073]]",44:25.4,44:25.6,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
9,38,TTH1-2024,162,553187,24566539,5,351,43:26.4,43:26.4,50,5,,"[[4269, 1952], [4226, 1969], [4200, 1979], [4185, 1984], [4168, 1991], [4152, 1997], [4126, 2007]]",133,NA,80,"[[3953, 1728], [4721, 2057]]",44:25.7,44:25.8,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
10,38,TTH1-2024,162,553187,24566539,5,3277,20:20.7,20:20.7,50,6,,"[[4266, 1944], [4268, 1910], [4270, 1875], [4272, 1850], [4273, 1834], [4274, 1817], [4275, 1803], [4276, 1793]]",133,NA,80,"[[3953, 1728], [4721, 2057]]",44:25.7,44:25.8,1,34,astah,DSC_0310.jpg,image/jpeg,"[[1302, 335], [1589, 334]]",3,44:23.1,03:45.2,1,image_content/43811ccb68a6deb66e249fad8c6039749d26654243997ac77b0eb287f89639e6.jpg
